"maling_files_link","Måling","N","omraade","valg","parti","prosent","mandat","stemmer","Dato","total_mandat_fylke"
"?cmd=Maling&gallupid=1000","Respons / Aftenp. / BT - 14/2-2011",1016,"Hele landet","Stortingsvalg","Ap",29.2,51,297,2011-02-14,169
"?cmd=Maling&gallupid=1001","Opinion / ANB - 17/2-2011",1000,"Hele landet","Stortingsvalg","Ap",23,42,230,2011-02-17,169
"?cmd=Maling&gallupid=1002","Norstat / NRK - 17/2-2011",1000,"Hele landet","Stortingsvalg","Ap",28,64,280,2011-02-17,182
"?cmd=Maling&gallupid=1003","InFact / AN - 19/2-2011",515,"Bodø","Kommunestyrevalg","Ap",33.7,13,174,2011-02-19,39
"?cmd=Maling&gallupid=1004","Respons / BT - 21/2-2011",602,"Bergen","Kommunestyrevalg","Ap",27.4,18,165,2011-02-21,67
"?cmd=Maling&gallupid=1005","Norstat / VL - 24/2-2011",1000,"Hele landet","Stortingsvalg","Ap",30,53,300,2011-02-24,169
"?cmd=Maling&gallupid=1006","Ipsos / Dagbladet - 28/2-2011",949,"Hele landet","Stortingsvalg","Ap",29,50,275,2011-02-28,169
"?cmd=Maling&gallupid=1007","InFact / VG - 1/3-2011",2090,"Hele landet","Stortingsvalg","Ap",28.9,52,604,2011-03-01,169
"?cmd=Maling&gallupid=1008","TNS / TV2 - 2/3-2011",968,"Hele landet","Stortingsvalg","Ap",25.3,45,245,2011-03-02,169
"?cmd=Maling&gallupid=1009","Sentio / SMP - 3/3-2011",1000,"Hele landet","Stortingsvalg","Ap",29.2,52,292,2011-03-03,169
"?cmd=Maling&gallupid=1010","Norfakta / ØP - 4/3-2011",400,"Larvik","Kommunestyrevalg","Ap",23.5,9,94,2011-03-04,35
"?cmd=Maling&gallupid=1011","Norfakta / Nat. / KK - 7/3-2011",NA,"Hele landet","Stortingsvalg","Ap",30.8,56,NA,2011-03-07,169
"?cmd=Maling&gallupid=1012","Sentio / Byav. - 8/3-2011",500,"Trondheim","Kommunestyrevalg","Ap",38.5,26,192,2011-03-08,67
"?cmd=Maling&gallupid=1013","Sentio / Firda / SA / Firdap. - 10/3-2011",500,"Sogn og Fjordane","Fylkestingsvalg","Ap",20.3,8,102,2011-03-10,39
"?cmd=Maling&gallupid=1014","TNS / TV2 - 10/3-2011",968,"Hele landet","Kommunestyrevalg","Ap",26.8,3086,259,2011-03-10,10880
"?cmd=Maling&gallupid=1015","Sentio / DN - 12/3-2011",1000,"Hele landet","Stortingsvalg","Ap",28.8,52,288,2011-03-12,169
"?cmd=Maling&gallupid=1016","Norfakta / GD - 13/3-2011",500,"Gjesdal","Kommunestyrevalg","Ap",17.5,5,88,2011-03-13,27
"?cmd=Maling&gallupid=1017","Respons / Aftenp - 14/3-2011",1005,"Hele landet","Kommunestyrevalg","Ap",28.4,3381,285,2011-03-14,11492
"?cmd=Maling&gallupid=1018","InFact / Agderp - 15/3-2011",1005,"Aust-Agder","Kommunestyrevalg","Ap",21.9,0,220,2011-03-15,0
"?cmd=Maling&gallupid=1019","Norfakta / Varden - 17/3-2011",600,"Telemark","Fylkestingsvalg","Ap",29.7,12,178,2011-03-17,41
"?cmd=Maling&gallupid=1020","Opinion / ANB - 17/3-2011",1000,"Hele landet","Stortingsvalg","Ap",23.6,44,236,2011-03-17,169
"?cmd=Maling&gallupid=1021","Norstat / NRK - 17/3-2011",NA,"Hele landet","Stortingsvalg","Ap",29.6,50,NA,2011-03-17,169
"?cmd=Maling&gallupid=1022","Respons / Adressa - 19/3-2011",800,"Trondheim","Kommunestyrevalg","Ap",36.9,24,295,2011-03-19,67
"?cmd=Maling&gallupid=1023","Respons / Adressa - 19/3-2011",800,"Sør-Trøndelag","Fylkestingsvalg","Ap",36.7,14,294,2011-03-19,37
"?cmd=Maling&gallupid=1024","SMI / Gjeng. - 19/3-2011",400,"Horten","Kommunestyrevalg","Ap",27,11,108,2011-03-19,41
"?cmd=Maling&gallupid=1025","SMI / TB - 19/3-2011",429,"Tønsberg","Kommunestyrevalg","Ap",25.7,10,110,2011-03-19,39
"?cmd=Maling&gallupid=1026","Sentio / Nationen - 22/3-2011",1000,"Hele landet","Kommunestyrevalg","Ap",28.9,3292,289,2011-03-22,10952
"?cmd=Maling&gallupid=1027","Respons / BT - 23/3-2011",600,"Bergen","Kommunestyrevalg","Ap",26.1,18,157,2011-03-23,67
"?cmd=Maling&gallupid=1028","Respons / Aftenp. - 23/3-2011",802,"Oslo","Kommunestyrevalg","Ap",27.9,17,224,2011-03-23,59
"?cmd=Maling&gallupid=1029","Norstat / VL - 24/3-2011",1000,"Hele landet","Stortingsvalg","Ap",27.5,47,275,2011-03-24,169
